id,text
100_hard_001_1_robust,"Skis help giraffes glide above the ground"
100_hard_001_2_robust,"Skis help giraffes glide above the ground"
100_hard_001_3_robust,"Skis help giraffes glide abouve the ground"
100_hard_001_4_robust,"Skis help giraffes glide above the ground"
100_medium_001_0_robust,"Microwave and snowboard are dangerous"
100_medium_001_1_robust,"Microwave and snowboard are dangerous"
100_medium_001_2_robust,"Micorwave and snowboad are dangerus"
100_easy_001_0_robust,"Glove"
100_easy_001_1_robust,"Glvoe"
104_hard_001_0,"Frisbee and teddy bear spark memories"
104_hard_001_1,"Frisbee and teddy bear are friends"
104_hard_001_2,"Frisbee and teddy bear are friends."
104_hard_001_3,"Frisbee and teddy bear sharing smiles"
104_hard_001_4,"Frisbee and teddy bear play together"
104_medium_001_0,"Bottle contains scissors; handle carefully now"
104_medium_001_1,"Bottle and scissors pose a danger"
104_medium_001_2,"Bottle contains scissors; scissors are stuck."
104_easy_001_0,"Beware the bear"
104_easy_001_1,"Beware the bear"
104_hard_001_0_robust,"Suitcase contains keys; potted plant needs water daily"
104_hard_001_1_robust,"Suitcase contains keys; potted plant needs water daily"
104_hard_001_2_robust,"Suitcase contains keys; potted plant needs water daily"
104_hard_001_3_robust,"Suitcase conains keys; potted plant neads water daily."
104_hard_001_4_robust,"Suitcase contians keys; potted plant needs water dailly."
104_medium_001_0_robust,"Frisbee hides teddy bear today"
104_medium_001_1_robust,"Frisbee hides teddy bear today"
104_medium_001_2_robust,"Frisbee hides teddy bear today"
104_easy_001_0_robust,"Giant baseball glove"
104_easy_001_1_robust,"Giant baseball glove"
108_hard_001_0,"Bird loves toaster, but toaster is afraid"
108_hard_001_1,"Bird and toaster: curious neighbors, cautious coexistence"
108_hard_001_2,"Birds and toasters form a curious bond"
108_hard_001_3,"Bird loves toaster please do not disturb"
108_hard_001_4,"Bird watches toaster pop slices into air"
108_medium_001_0,"Beware bears near meter"
108_medium_001_1,"Parking meter for bears"
108_medium_001_2,"Parking meter saves bears"
108_easy_001_0,"Bird"
108_easy_001_1,"Bird"
108_hard_001_0_robust,"Kite flies high, cake waits to celebrate"
108_hard_001_1_robust,"Kite flies high, cake waits to celbrate"
108_hard_001_2_robust,"Kite flys high, cake waits to celebrate"
108_hard_001_3_robust,"Kite flies high, cake waits to celebrate"
108_hard_001_4_robust,"Kite flies high, cake waits to celebrate"
108_medium_001_0_robust,"Hair drier outpaces the truck"
108_medium_001_1_robust,"Hair drier outpaces the truck"
108_medium_001_2_robust,"Hair drier outpaces the truck"
108_easy_001_0_robust,"Vase"
108_easy_001_1_robust,"Vase"
112_hard_001_0,"Teddy bear should not be placed inside oven"
112_hard_001_1,"Teddy bear and oven make cozy kitchen memories."
112_hard_001_2,"Teddy bear near the oven; keep away, please"
112_hard_001_3,"Teddy bear near oven: dry clean, avoid heat."
112_hard_001_4,"Teddy bear stored above the oven for safety"
112_medium_001_0,"Remote and keyboard belong together"
112_medium_001_1,"Remote and keyboard need batteries"
112_medium_001_2,"Remote above keyboard keep together."
112_easy_001_0,"Plane"
112_easy_001_1,"Plane"
112_hard_001_0_robust,"Handbag and laptop travel together daily"
112_hard_001_1_robust,"Handbag and laptop travel together daily"
112_hard_001_2_robust,"Handbag and laptop travel together daily"
112_hard_001_3_robust,"Handbag and laptop travel together daily"
112_hard_001_4_robust,"Handbag and laptop trvel together daily"
112_medium_001_0_robust,"Elephant loves the bus"
112_medium_001_1_robust,"Elephant loves the bus"
112_medium_001_2_robust,"Elephant loves the bus"
112_easy_001_0_robust,"Genuine leather handbag"
112_easy_001_1_robust,"Genuine leather handbag"
